FA년도,구단명,선수명,세부 포지션,투,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM GS,TEAM GR,TEAM W,TEAM L,TEAM S,TEAM BLSV,TEAM HD,TEAM BLHD,TEAM IP,TEAM ER,TEAM H,TEAM 2B,TEAM 3B,TEAM HR,TEAM BB,TEAM HP,TEAM SO,TEAM WP,TEAM ERA,TEAM FIP,TEAM 선발 이닝,TEAM 구원 이닝,TEAM 선발 WAR,TEAM 구원 WAR,TEAM 종합 WAR,TEAM 연봉,
2011,롯데,강영식,RP,좌투,12,자격유지,A,2010,29,63,0,63,3,3,2,,7,,52.2,26,50,,,6,24,1,58,5,4.44,3.4,,,,1.09,1.09,12000,고졸,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,롯데,강영식,RP,좌투,12,자격유지,A,2011,30,64,0,64,2,1,1,,16,,41,16,35,,,5,22,2,39,5,3.51,4.44,,,,1.26,1.26,30000,고졸,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,롯데,강영식,RP,좌투,12,자격유지,A,2012,31,55,0,55,2,0,0,0,10,0,41.2,18,41,,,2,19,0,49,2,3.89,2.38,,,,0.66,0.66,30000,고졸,,,,,4,133,133,465,65,62,39,,63,,1190.1,461,1145,,,74,469,53,825,65,3.49,3.78,,,13.79,10.25,24.04,260700,
2014,롯데,강영식,RP,좌투,12,자격유지,A,2013,32,55,0,55,1,3,1,2,9,0,39.2,17,32,7,0,1,19,2,40,4,3.86,3.22,0,39.2,,0.49,0.49,30000,고졸,,잔류,4,17,5,128,128,409,66,58,38,21,64,2,1149.1,503,1148,180,13,84,489,62,820,45,3.94,4.33,707,442.1,17.78,5.67,23.45,207800,
2015,롯데,강영식,RP,좌투,,FA 1년차,,2014,33,52,0,52,2,5,0,4,14,0,47,25,46,8,1,4,24,2,42,4,4.79,4.75,0,47,,1.18,1.18,30000,,,,,,7,128,128,425,58,69,28,14,64,2,1133.1,655,1310,250,26,127,470,53,781,54,5.2,5.19,689.1,444,16.19,6.83,23.03,316600,
2020,NC,강윤구,RP,좌투,8,신규,C,2019,29,67,0,67,3,3,0,1,15,0,56.1,28,55,4,4,4,24,4,49,2,4.47,4.02,0,56.1,,1.12,1.12,8500,고졸,,,,,5,144,144,501,73,69,32,17,68,5,1284.1,572,1285,199,19,103,483,92,991,68,4.01,4.17,785.1,499,21.67,6.01,27.68,370100,
2021,NC,강윤구,RP,좌투,8,신규,C,2020,30,30,0,30,1,1,0,0,3,1,21,16,31,7,0,3,11,0,15,2,6.86,5.53,0,21,,0.06,0.06,15500,고졸,,,,,1,144,144,592,83,55,31,19,88,3,1296.2,660,1292,199,15,153,547,79,1049,65,4.58,4.86,754,542.2,21.71,7.36,29.07,438600,
2022,롯데,강윤구,RP,좌투,8,신규,C,2021,31,22,1,21,0,1,0,1,3,0,,15,21,4,0,3,14,1,15,0,8.44,,2,14,-0.14,-0.18,-0.32,10000,고졸,,,,,8,144,144,588,65,71,37,15,76,10,1271,758,1333,253,16,133,658,88,1054,102,5.37,4.64,714.2,556.1,12.97,4.53,17.5,332200,
2023,롯데,강윤구,RP,좌투,8,신규,C,2022,32,29,0,29,0,0,0,0,0,1,21.1,13,25,6,1,0,6,1,27,0,5.48,1.64,0,21.1,,-0.01,-0.01,7300,고졸,,은퇴,,,8,144,144,531,64,76,34,13,69,8,1280.2,633,1373,257,22,84,492,80,1199,72,4.45,3.52,752.2,528,16.18,3.28,19.46,405000,
2024,은퇴,강윤구,,좌투,,,,2023,,,,,,,,,,,,,,,,,,,,,,6.37,,,,,,,은퇴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
